,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,trump,3452.3,mental,3351.9,canada,591.5,mental,1186.5,gun,1385.3,school,840.5,mental,1058.1,white,1220.1,mental,1836.1,god,954.9
1,presid,1031.5,ill,1993.1,muslim,582.0,peopl,708.3,mental,1156.3,kid,723.0,comment,848.3,peopl,1076.2,peopl,1793.0,one,934.0
2,vote,813.8,health,1213.7,countri,539.3,drug,555.8,peopl,981.1,year,590.5,like,678.6,black,651.0,health,1464.6,women,905.2
3,like,780.9,medic,706.8,us,519.8,ill,538.9,law,844.9,go,514.7,would,668.2,disord,537.1,homeless,1367.5,life,830.1
4,elect,579.5,http,630.5,world,490.3,health,497.7,kill,699.6,time,507.9,think,650.4,person,529.5,care,1296.8,peopl,798.2
5,republican,550.2,help,527.0,canadian,462.9,problem,491.9,polic,683.4,one,500.8,person,629.7,”,486.9,need,1169.6,would,740.9
6,obama,542.2,need,504.5,islam,448.3,use,476.3,ill,674.7,get,458.6,say,608.7,right,484.1,work,956.9,church,686.1
7,peopl,540.2,www,467.5,right,409.8,issu,456.4,one,526.8,student,385.0,know,607.6,gender,454.1,ill,903.6,like,656.3
8,man,499.8,treatment,453.5,like,400.1,caus,444.5,would,521.2,work,373.3,issu,572.7,women,446.7,get,825.9,men,634.9
9,democrat,488.0,com,415.4,govern,385.2,suicid,405.2,get,519.6,need,370.2,ill,569.4,’,443.7,help,795.8,children,619.3
10,get,475.6,get,362.2,peopl,378.4,depress,381.5,person,451.4,would,369.8,make,567.4,mental,441.8,money,740.8,know,613.1
11,white,453.6,doctor,342.3,christian,373.7,gun,369.9,right,422.9,like,340.8,one,553.2,group,415.7,pay,702.1,live,592.2
12,think,435.9,patient,320.2,liber,358.4,violenc,320.6,go,364.9,cathol,337.7,peopl,513.0,hate,392.3,problem,662.4,child,582.4
13,support,432.4,year,302.0,one,333.1,alcohol,310.5,could,349.7,educ,329.4,use,494.8,male,363.5,mani,660.3,woman,581.8
14,donald,410.1,disord,297.7,blind,329.4,addict,278.2,guy,347.4,church,309.2,someon,482.5,one,360.8,would,660.1,love,553.7
